,lon,lat,nltk_sentiment,count,total,%neg,nltk_cmp_score
277,103.880679309,1.38364174742,Negative,23,293,7.849829351535837,0.1640703071672355
278,103.880679309,1.39364174742,Negative,29,499,5.811623246492986,0.15811402805611222
279,103.890679309,1.28364174742,Negative,29,175,16.57142857142857,0.21064628571428573
280,103.890679309,1.29364174742,Negative,11,99,11.11111111111111,0.16428484848484848
281,103.890679309,1.30364174742,Negative,44,501,8.78243512974052,0.10536067864271456
282,103.890679309,1.31364174742,Negative,145,1898,7.639620653319283,0.21072565858798734
283,103.890679309,1.32364174742,Negative,199,1566,12.707535121328226,0.12234750957854407
284,103.890679309,1.33364174742,Negative,82,837,9.79689366786141,0.2170278375149343
285,103.890679309,1.34364174742,Negative,1,28,3.571428571428571,0.332725
286,103.890679309,1.35364174742,Negative,26,480,5.416666666666667,0.27718000000000004
287,103.890679309,1.36364174742,Negative,69,435,15.862068965517242,0.07025448275862069
288,103.890679309,1.37364174742,Negative,87,991,8.779011099899092,0.14668143289606458
289,103.890679309,1.38364174742,Negative,25,421,5.938242280285035,0.12186532066508314
290,103.890679309,1.39364174742,Negative,58,648,8.950617283950617,0.17738703703703704
291,103.890679309,1.40364174742,Negative,8,85,9.411764705882351,0.13828235294117647
292,103.900679309,1.29364174742,Negative,10,161,6.211180124223603,0.2816149068322982
293,103.900679309,1.30364174742,Negative,122,1370,8.905109489051096,0.24600218978102192
294,103.900679309,1.31364174742,Negative,197,2681,7.348004475941813,0.20060548302872064
295,103.900679309,1.32364174742,Negative,47,469,10.021321961620467,0.23553582089552239
296,103.900679309,1.33364174742,Negative,25,432,5.787037037037037,0.19156967592592591
297,103.900679309,1.34364174742,Negative,42,227,18.50220264317181,0.19842907488986783
298,103.900679309,1.36364174742,Negative,8,60,13.333333333333334,0.19419
299,103.900679309,1.37364174742,Negative,30,632,4.746835443037975,0.11407658227848101
300,103.900679309,1.38364174742,Negative,174,956,18.200836820083683,0.2107407949790795
301,103.900679309,1.39364174742,Negative,62,662,9.365558912386708,0.1372738670694864
302,103.900679309,1.40364174742,Negative,83,1151,7.211120764552563,0.15295786272806255
303,103.900679309,1.41364174742,Negative,26,244,10.655737704918032,0.19014918032786884
304,103.910679309,1.29364174742,Negative,9,36,25.0,0.04364444444444445
305,103.910679309,1.30364174742,Negative,98,956,10.251046025104603,0.19964571129707112
306,103.910679309,1.31364174742,Negative,435,2116,20.55765595463138,0.11071465028355387
307,103.910679309,1.32364174742,Negative,47,524,8.969465648854962,0.12041049618320611
308,103.910679309,1.33364174742,Negative,78,653,11.944869831546708,0.20283062787136294
309,103.910679309,1.34364174742,Negative,14,300,4.666666666666667,0.22850133333333333
310,103.910679309,1.36364174742,Negative,11,69,15.942028985507244,0.20592608695652173
311,103.910679309,1.38364174742,Negative,8,22,36.36363636363637,-0.03782272727272728
312,103.910679309,1.39364174742,Negative,45,703,6.401137980085349,0.09251664295874822
313,103.910679309,1.40364174742,Negative,50,674,7.418397626112759,0.12339035608308604
314,103.910679309,1.41364174742,Negative,95,830,11.44578313253012,0.24751674698795179
315,103.910679309,1.42364174742,Negative,20,168,11.904761904761903,0.23345654761904763
316,103.920679309,1.30364174742,Negative,25,341,7.331378299120235,0.18090527859237535
317,103.920679309,1.31364174742,Negative,25,329,7.598784194528875,0.21969635258358663
318,103.920679309,1.32364174742,Negative,19,273,6.95970695970696,0.16574798534798535
319,103.920679309,1.33364174742,Negative,45,659,6.828528072837632,0.2253951441578149
320,103.920679309,1.34364174742,Negative,21,205,10.24390243902439,0.3027756097560976
321,103.920679309,1.35364174742,Negative,5,75,6.666666666666667,0.349016
322,103.920679309,1.39364174742,Negative,14,209,6.698564593301436,0.20875023923444974
323,103.920679309,1.40364174742,Negative,6,149,4.026845637583892,0.13660604026845635
324,103.920679309,1.41364174742,Negative,1,37,2.702702702702702,0.23076756756756756
325,103.930679309,1.30364174742,Negative,34,452,7.52212389380531,0.2116683628318584
